lemma,count
bestehen,1680
setzen,1367
liegen,1353
stehen,1300
gelten,1197
fördern,1181
stellen,1172
z,1065
erfolgen,1024
zeigen,852
dienen,741
legen,702
bilden,683
unterstützen,670
schaffen,637
sorgen,618
führen,603
umfassen,587
geben,586
berücksichtigen,520
b,510
nehmen,509
bezeichnen,502
beschließen,488
weisen,474
bleiben,472
kommen,464
verfügen,423
d,416
gehören,412
ergeben,411
prüfen,378
erarbeiten,375
handeln,375
tragen,367
inkl,345
befinden,343
u,341
abstimmen,327
enthalten,318
entwickeln,314
c,314
entsprechen,300
richten,289
bieten,289
gehen,284
überprüfen,281
nutzen,279
finanzieren,274
bauen,274
RRB,269
kanten,269
finden,267
sichern,260
e,260
lassen,255
machen,252
Riehen,246
stimmen,243
streben,235
koordinieren,234
orientieren,232
ermöglichen,232
betragen,224
betreffen,217
erhalten,216
genehmigen,212
wirken,207
erfordern,202
sehen,197
bedürfen,195
aufwerten,193
fehlen,184
übernehmen,182
entfalten,174
folgen,172
definieren,171
verfolgen,164
entstehen,160
bedingen,158
heißen,157
regeln,154
ergänzen,152
leisten,152
zielen,151
verbessern,151
trügen,149
erstellen,148
konzentrieren,147
bringen,145
bestimmen,144
erfüllen,144
zh,140
erhöhen,140
treffen,138
stärken,135
f,135
fahren|führen,133
brauchen,132
FFF,128
sicherstellen,125
graben,124
stützen,117
bedeuten,116
benötigen,116
gewährleisten,116
halten,115
beurteilen,113
beinhalten,111
zeichnen,111
n,110
betreiben,109
arbeiten,108
reichen,108
beschreiben,106
beziehen,105
basieren,103
erlassen,102
schließen,102
treten,101
verlangen,98
beachten,97
eignen,94
passen,93
ü,91
maßnehmen,91
zählen,91
lesen,90
besitzen,89
planen,89
Abb,88
entscheiden,87
aufzeigen,87
sanieren,85
verbinden,84
v,83
steigen,82
umsetzen,81
reuen,80
bergen,80
leiten,79
verpflichten,79
unterscheiden,78
gestalten,77
festlegen,76
erscheinen,73
stoßen,72
spielen,72
bewirtschaften,72
existieren,71
prägen,71
realisieren,70
erlauben,70
aktualisieren,70
decken,68
formulieren,68
erstatten,68
verlaufen,68
geschehen,68
beschränken,68
binden,66
schützen,66
hängen,66
reproduzieren,61
