lemma,count
être,1258
pouvoir,262
avoir,61
prendre,46
faire,46
esures,41
bernoise,39
permettre,35
rail-router,28
cofinancer,26
bernoises,25
répondre,23
agir,23
aider,22
intervenir,21
fixer,18
tenir,18
uent,16
traiter,15
incipes,15
ident,14
ple,13
ervent,12
rire,10
représent,10
priorise,10
mettre,10
entrer,8
savoir,8
devoir,8
sie,8
devenir,8
subir,7
requérir,7
iennent,6
annexer,6
sätzlicher,6
räumlicher,6
nichtde,6
quiHandlungspermettre,6
maintenir,6
correspondre,6
soutenir,6
miser,6
invent,5
bestehende,5
lausannoise,5
rail‐router,4
repriser,4
apparaître,4
fribourgeoises,4
fribourgeoise,4
combattre,4
ture,3
ances,3
concent,3
e,3
hent,3
établir,3
définir,3
grenzüberschreitendre,3
entsprechende,2
professionelles,2
suivre,2
OANappliquer,2
Spiez,2
arriérer,2
voir,2
abgeleitetes,2
franco-valdo-genevoise,2
bulloise,2
satisfaire,2
franco-suisse,2
armasuisse,2
remettre,2
nuire,2
étendre,2
Tavanner,2
recevoir,2
Richtplandes,2
folgende,2
co‐présider,2
transcrire,2
vorliegende,2
servir,2
finalise,2
endent,2
ésent,2
neuchâteloise,2
ouent,2
prioriser,1
doivvent,1
entrre,1
franco-suisses,1
pourdes,1
redescendre,1
poursuivre,1
suffire,1
incombent,1
desservir,1
ème,1
Tramelan–Tavanner,1
insére,1
àstructurer,1
angrenzende,1
längere,1
inscrire,1
Lausanne-Morges,1
co‐financer,1
schrittweise,1
politische,1
präzise,1
öffentlicher,1
ArbeitsplatzEs,1
Thunerseegebietes,1
touristische,1
sinnvolle,1
bisherige,1
herausragende,1
stattfindende,1
setztCette,1
regionsübergreifendre,1
flankierendre,1
transjurassiennes,1
govie,1
entretenir,1
influer,1
francovélosuisse,1
cœxistent,1
érialire,1
essent,1
prévent,1
uelles,1
écent,1
errainer,1
plaine-montagne,1
encourager,1
relocaliser,1
fournir,1
équent,1
agnes,1
ualire,1
ges,1
chent,1
ènent,1
oche,1
ènes,1
isent,1
cellent,1
r,1
ingent,1
assienne,1
esure,1
ent,1
squ'elles,1
pagnenent,1
riques,1
ingue,1
eprésent,1
iduelles,1
bre,1
éhiculer,1
ience,1
énager,1
ionnent,1
sanne,1
alent,1
issions,1
neuchâteloises,1
canton-communes,1
prévoir,1
impartir,1
