lemma,count
festlegen,791
abstimmen,752
erhalten,674
berücksichtigen,650
stützen,618
nutzen,593
bezeichnen,568
aufnehmen,536
enthalten,508
festsetzen,473
anstreben,470
fördern,462
sichern,455
schaffen,434
sicherstellen,416
erschließen,413
erarbeiten,410
umsetzen,395
vorsehen,388
erreichen,387
erstellen,387
darstellen,385
genehmigen,381
gewährleisten,353
überprüfen,327
prüfen,318
realisieren,317
verbessern,309
planen,303
anpassen,289
ausscheiden,285
unterstützen,266
stellen,258
definieren,251
ausbauen,247
erlassen,247
stärken,235
setzen,229
durchführen,223
koordinieren,215
machen,206
ergänzen,204
führen,196
schützen,195
regeln,195
entwickeln,194
ausrichten,191
ausweisen,191
differenzieren,186
beschließen,186
abschließen,179
ändern,179
aufwerten,177
formulieren,177
vornehmen,175
beeinträchtigen,175
aufführen,173
nehmen,172
aufzeigen,171
erhöhen,171
festhalten,169
reduzieren,165
verbinden,161
behandeln,156
erfüllen,155
betreiben,151
tragen,142
betreffen,141
bewilligen,139
einsetzen,138
erfolgen,137
prägen,136
verpflichten,131
überbauen,130
ergeben,129
integrieren,128
verfahren,126
erweitern,125
überarbeiten,125
bestimmen,119
vermeiden,119
halten,118
ermöglichen,118
geben,117
verwenden,114
erfassen,113
weiterentwickeln,112
verzichten,112
aufheben,112
ausschließen,111
ausschöpfen,110
unterscheiden,109
benötigen,108
gestalten,107
bereitstellen,105
zuweisen,104
übernehmen,102
aktualisieren,102
eintragen,101
anweisen,95
einhalten,95
verfolgen,94
verändern,92
verlangen,92
untersuchen,90
bauen,90
zulassen,90
erteilen,90
anschließen,89
entlasten,88
treffen|triefen,88
beurteilen,87
anbinden,86
ersetzen,85
einbeziehen,84
verknüpfen,83
gefährden,81
beschränken,81
konkretisieren,80
einleiten,80
ausführen,78
beschreiben,78
einschränken,78
optimieren,77
verankern,77
vollziehen,76
vernetzen,75
verabschieden,74
erzielen,74
nachweisen,74
steigern,73
zuführen,73
beauftragen,72
sanieren,70
einreichen,69
errichten,69
