lemma,count
abstimmen,531
sicherstellen,398
anstreben,307
festlegen,217
umsetzen,192
aufzeigen,175
aufwerten,166
anpassen,160
vornehmen,159
vorsehen,159
ausrichten,154
einbeziehen,131
aufnehmen,100
ausbauen,96
durchführen,89
ausscheiden,87
nachweisen,65
freihalten,63
weiterentwickeln,62
darstellen,56
ausschöpfen,56
einsetzen,55
angehen,54
feststellen,52
vorantreiben,51
ausgestalten,50
festhalten,49
beiziehen,47
ausweisen,45
ausgehen,45
einhalten,44
anwenden,41
anbinden,41
ausarbeiten,39
bereitstellen,39
abwägen,35
anbieten,35
zuweisen,34
zurückführen,34
abschließen,34
einbringen,33
wiederherstellen,33
beibehalten,33
darlegen,32
hinwirken,31
zuführen,31
ansiedeln,31
ausschließen,28
einbinden,27
wahrnehmen,27
einleiten,27
abklären,27
miteinbeziehen,26
anordnen,25
zulassen,23
entgegenwirken,22
vorziehen,22
zusammenfassen,21
abwickeln,20
festsetzen,20
ausführen,19
einräumen,19
einpassen,19
anschließen,18
beimessen,18
einreichen,18
abdecken,17
hinweisen,17
nachzuführen,17
vorlegen,17
einführen,16
aufheben,16
eindämmen,15
anhören,15
anpacken,15
anlegen,15
fertigstellen,14
zuordnen,13
fernhalten,13
umgehen,13
abweichen,12
weiterführen,12
aufbauen,11
eintreten,11
einrichten,11
einschränken,11
auflegen,11
ausdehnen,11
eingehen,10
herbeiführen,10
einholen,10
ablagern,10
mitberücksichtigen,10
weiterverfolgen,10
durchsetzen,10
beitragen,10
offenlegen,10
einstufen,10
vorbereiten,10
absichern,9
absehen,9
herstellen,9
aufstellen,9
ausbilden,9
anhalten,8
anbringen,8
anstrengen,8
ausgleichen,8
einbetten,8
auffangen,8
abbauen,8
zusammenführen,7
fortführen,7
ableiten,7
vorschlagen,7
weiterziehen,7
mitwirken,6
einfügen,6
auffassen,6
ausstatten,6
umzuzonen,6
vorgeben,6
eingliedern,6
auszuzonen,6
abschätzen,6
auslösen,6
einteilen,6
ausmachen,6
ausnutzen,6
absprechen,6
hinkommen,6
abgeben,5
vorzukehren,5
anmerken,5
vorgehen,5
offenhalten,5
nachkommen,5
mitteilen,5
abstützen,5
hinarbeiten,5
ablehnen,5
einzuzonen,5
ansprechen,4
einwirken,4
abtrennen,4
fortsetzen,4
stattfinden,4
entgegensteuern,4
vorbeugen,4
abgelten,4
aufkommen,4
auflisten,4
angeben,4
abgrenzen,4
aufweisen,4
zumessen,3
umwandeln,3
auseinandersetzen,3
angliedern,3
zuteilen,3
einordnen,3
abzukl,3
wiederverwerten,3
ablösen,3
ansehen,3
zurückbauen,3
ausweiten,3
fortschreiben,3
gegenüberstellen,3
auszudolen,3
freigeben,3
aufrechterhalten,3
herabsetzen,3
eintragen,3
aufstocken,3
zurechnen,3
anzeigen,3
auslegen,3
eingreifen,3
aufgreifen,3
abbrechen,3
anstellen,3
umleiten,3
hinzuziehen,3
umnutzen,3
vorwegnehmen,2
abwenden,2
umkehren,2
zuwenden,2
einbezahlen,2
ausnützen,2
auffüllen,2
ausüben,2
wiederverwenden,2
vorbehalten,2
einbauen,2
ausfüllen,2
weiterbearbeiten,2
unterbringen,2
umsteigen,2
voraussehen,2
gleichsetzen,2
aufteilen,2
auszeichnen,2
antreffen,2
zurückgewinnen,2
beilegen,2
abwehren,2
anreichern,2
durchleiten,2
vorzubere'iten,2
annehmen,2
anheben,2
herausnehmen,2
zusammenstellen,2
ausschalten,2
vorliegen,2
auszuwe'isen,2
aufgeben,2
anerkennen,2
einzurichfcen,1
abzusfcimmen,1
zuzu-,1
einzubeziehn,1
weiterleiten,1
wiederaufbereiten,1
aufhalten,1
klarstellen,1
zurückbringen,1
einarbeiten,1
aushandeln,1
umstellen,1
anrechnen,1
abzeichnen,1
abstellen,1
anmelden,1
andeuten,1
vorfinanzieren,1
aufzugleisen,1
anstimmen,1
ausräumen,1
abgleichen,1
vorfinden,1
umgestalten,1
nachvollziehen,1
abstufen,1
einlegen,1
zugehen,1
mitgestalten,1
zurückgreifen,1
zusammenfügen,1
vorzu,1
abnehmen,1
einzuschrän,1
vorschreiben,1
ausgeben,1
festzuleqen,1
zurücklegen,1
eingrenzen,1
anzuerD,1
mitzute'ilen,1
abzuschl,1
auszuwejsen,1
mitzuberijcksicht'igen,1
bekanntgeben,1
auszuwei,1
festzu'legen,1
abzuschl'iessen,1
fortzufi,1
auffordern,1
abzust'immen,1
anzung,1
auswerten,1
gleichstellen,1
weitergeben,1
auftreten,1
abdichten,1
wegkommen,1
abzutauschen,1
vorbehandeln,1
umstrukturieren,1
bereithalten,1
zurückgeben,1
ausweichen,1
einzule'iten,1
nachsuchen,1
entgegenkommen,1
ausdrucken,1
einplanen,1
auszuarbe'iten,1
anknüpfen,1
instandsetzen,1
ablegen,1
aufbereiten,1
umzulagern,1
nachtragen,1
zurückstellen,1
herausheben,1
anreisen,1
anziehen,1
freisetzen,1
einladen,1
abschöpfen,1
annähern,1
vorhalten,1
auslasten,1
ausdünnen,1
zufügen,1
vorausdenken,1
nachholen,1
abbrennen,1
nachzuteben,1
auskommen,1
einzudolen,1
mittragen,1
zurücktreten,1
zustimmen,1
aussetzen,1
auszuftihren,1
zuschreiben,1
vortragen,1
hinzurechnen,1
zusammenschließen,1
herausgeben,1
hinrechnen,1
abwarten,1
zurückstehen,1
umbauen,1
einspeisen,1
aufrichten,1
abhandeln,1
aussteigen,1
ansetzen,1
kennenlernen,1
Uechmorgen,1
einfrieren,1
austesten,1
