lemma,count
Kanton,20643
Richtplan,11962
Gemeinde,9753
Maßnahme,5916
Verkehr,5036
%,4453
Art,4453
Bund,4380
Grundlage,4278
Entwicklung,4188
Gebiet,4122
Landschaft,3891
Stand,3635
Bedeutung,3613
Festsetzung,3544
Region,3304
Nutzung,3267
A,3254
Standort,3040
Rahmen,3013
Anlage,2975
S,2940
Bau,2914
Siedlung,2894
Vorhaben,2836
Bauzone,2669
Raum,2570
Ziel,2539
Jahr,2527
Regierungsrat,2484
Planung,2401
E,2332
Bereich,2261
Federführung,2245
Koordination,2245
Ausgangslage,2212
Interesse,2125
Strategie,2068
Teil,2041
Seite,2023
Zwischenergebnis,1939
Siedlungsgebiet,1900
Realisierung,1722
Siedlungsentwicklung,1702
Beteiligte,1691
Umwelt,1686
Festlegung,1664
Schutz,1645
Umsetzung,1644
Wald,1641
Basel-Stadt,1630
V,1609
Zusammenarbeit,1604
Zielsetzung,1545
Anpassung,1544
Abstimmung,1542
Straße,1533
�,1520
Leitsatz,1514
Zentrum,1480
Projekt,1448
Bahnhof,1442
$,1421
Priorität,1393
Raumplanung,1367
Fläche,1364
Ausbau,1361
Amt,1349
Auswirkung,1348
Vororientierung,1329
Energie,1310
Bundesamt,1298
Richtplantext,1297
Landwirtschaft,1277
Rh,1274
Natur,1267
Sachplan,1257
Ab,1247
Juni,1232
Infrastruktur,1230
Voraussetzung,1225
Aufgabe,1224
RPG,1212
Objektblatt,1180
Konzept,1165
C,1161
ha,1160
Beschluss,1159
Entsorgung,1155
Verordnung,1151
Gewässer,1150
Richtplanung,1143
Anhang,1137
L,1126
Bevölkerung,1121
Erschließung,1120
Betrieb,1108
Boden,1103
Nutzungsplanung,1097
Bericht,1077
Erhaltung,1072
vgl,1057
Bedarf,1040
Stelle|Stellen,1033
Planungsgrundsatz,1018
Controlling,1012
Januar,1001
Hinweis,999
April,996
Koordinationsstand,982
Förderung,966
Agglomeration,963
Qualität,962
Lebensraum,958
Richtplankarte,946
Vorgehen,935
Bezirk,928
Karte,911
Fruchtfolgefläche,909
Tourismus,906
»,906
Grundsatz,906
Bundesgesetz,900
Versorgung,895
Wirtschaft,883
Angebot,871
Einleitung,871
B,866
Aargau,854
Inventar,854
Möglichkeit,851
Mai,851
Deponie,850
Sinn,834
Agglomerationsprogramm,834
Regionale,818
Zeitraum,817
Ortsbild,814
X,809
Kapitel,804
Konflikt,803
Funktion,803
Schwerpunkt,802
§,800
Zone,796
Zug,795
Hauptziel,795
Herausforderung,786
Potenzial,777
September,775
Stadt,774
s,772
Vorgabe,769
Bundesrat,759
Verbindung,756
Verfahren,754
Genehmigung,751
Daueraufgabe,746
Wirkung,734
Anforderung,733
Objekt,726
K,726
Mobilität,712
Berücksichtigung,710
Ortsplanung,710
Nachbarkanton,710
Verbesserung,706
Entwicklungsschwerpunkt,703
Juli,698
Wachstum,691
Weiter,689
Kriterium,684
Veloverkehr,683
Naturgefahr,681
November,681
Einrichtung,677
Auftrag,677
Lage,676
Rahmenbedingung,671
Verfügung,667
Erweiterung,660
Erläuterung,659
Neue,656
m,653
l,652
Anschluss,639
Neubau,635
Finanzierung,631
Wohnen,631
t,626
Arbeit|Arbeiten,625
Abfall,624
Raumentwicklung,621
Aufwertung,620
Anteil,619
Fortschreibung,618
Instrument,617
Bedürfnis,617
Tätigkeit,615
Sicherung,614
Sicht,614
RRB,612
Kosten,607
Nationalstrasse,605
Kap,602
Rückseite,599
Schutzobjekt,594
Dezember,593
Mittel,592
Abhängigkeit,590
Übersicht,586
Gesetz,585
Vernetzung,584
März,584
Ergänzung,580
Landschaftsschutz,580
F,580
Behörde,578
G,578
Oktober,574
Erholung,574
Beitrag,566
I,564
Bahn,548
Linie,545
AGR,544
Änderung,541
Zusammenhang,541
Zielkonflikt,538
Freiraum,526
Rechnung,526
Kantonsstraße,525
Ausscheidung,523
Datum,520
Areal,520
Erarbeitung,516
Massnahmenblatt,514
Kultur,514
Sachbereich,514
Bundesinventar,513
Leitbild,511
Problem,507
Arbeitsplatz,504
Anliegen,502
R,500
Fließgewässer,499
