lemma,count
@card@,86442
C,1643
deux,1188
I,893
trois,883
premier,744
quatre,390
cent,367
cinq,295
un,229
troisième,188
deuxième,175
L,170
1er,166
X,161
dix,145
II,139
3e,136
second,117
III,104
quinze,104
six,103
2e,87
4e,81
huit,79
V,71
quatrième,64
sept,57
3ème,41
IV,38
2ème,30
20e,29
mille,25
VI,23
LI,20
vingt,20
5e,14
1er|1ère,13
6e,13
4ème,11
XXe,10
douze,10
soixante,7
7e,7
trente,5
vingt-sept,5
20ème,5
onze,4
VII,4
XXIe,3
VIII,3
IX,3
vingt-cinq,3
XIXe,3
19e,2
trente-huit,2
trente-deux,2
XX,2
dix-neuf,2
dix-sept,2
quarante,2
XVIIIe,1
septante,1
XVIIe,1
19ème,1
sixième,1
XII,1
XI,1
XIII,1
5ème,1
XXX,1
8e,1
