,DE_AG,DE_AI,DE_AR,DE_BE,DE_BL,DE_BS,DE_GL,DE_LU,DE_NW,DE_OW,DE_SH,DE_SO,DE_SZ,DE_TG,DE_UR,DE_ZG,DE_ZH
minute,1,11,9,0,1,5,0,1,0,2,0,0,0,2,0,0,0
stunden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dauern,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
geschwindigkeit,0,0,8,0,1,4,0,0,0,0,0,0,4,0,0,0,0
schnelligkeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pünktlichkeit,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
verspätung,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
kilometer,0,1,0,15,0,1,0,2,1,1,0,2,2,0,0,1,2
verlangsamung,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
taktfrequenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
