,FR_FR_BE,FR_FR_FR,FR_FR_GE,FR_FR_JU,FR_FR_NE,FR_FR_VD,FR_FR_VS,DE_DE_AG,DE_DE_AI,DE_DE_AR,DE_DE_BE,DE_DE_BL,DE_DE_BS,DE_DE_GL,DE_DE_LU,DE_DE_NW,DE_DE_OW,DE_DE_SH,DE_DE_SO,DE_DE_SZ,DE_DE_TG,DE_DE_UR,DE_DE_ZG,DE_DE_ZH
accessibilité | erreichbarkeit,44,35,63,3,24,233,23,21,4,14,41,25,57,10,24,5,7,17,2,14,3,7,6,12
qualité desserte | versorgungsqualität,140,35,7,1,1,45,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
intégration transport | verkehrsintegration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coût | kosten,275,16,5,1,3,305,3,14,10,131,208,112,24,3,10,8,47,16,11,18,7,5,12,2
disponibilité transport | verfügbarkeit verkehrsmittel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
infrastructure | infrastruktur,650,189,149,17,29,707,171,75,18,44,374,42,214,30,83,37,14,37,36,44,18,86,37,42
centralité spatial | räumlich zentralität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inégalité accès | erreichbarkeitsgerechtigkeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
budget mobilité | mobilitätsbudget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
réseau transport | verkehrsnetz,71,60,45,5,1,200,18,16,9,8,19,7,22,3,2,2,6,10,8,28,4,3,6,3
aptitude mobilité | bewegungsfähigkeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capital mobilité | mobilitätskapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
habitus mobilité | mobilitätshabitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autonomie déplacement | bewegungsautonomie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apprentissage mobilité | mobilitätslernen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratégie déplacement | mobilitätsstrategie,1,0,0,0,0,0,0,4,0,0,5,1,6,0,1,0,0,0,2,0,0,0,0,0
compétence orientation | orientierungskompetenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
représentation espace | raumvorstellung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motivation mobilité | mobilitätsmotivation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbolique mobilité | symbolisch mobilität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
