lemma,count
sehen,637
RRB,177
mitteln,142
wagen,122
erlassen,120
marchen,112
verkehren,82
verweisen,69
bunkern,61
planen,39
eggen,39
mergeln,32
RPG,29
lenken,22
gleisen,18
bauen,17
baken,15
wassern,14
folgen,13
sondern,12
speichern,12
erlachen,11
bahnen,11
bestimmen,11
regen,10
rollen,9
kehren,8
südl,8
zahlen,7
steinen,7
kauen,7
Riehen,7
lärmen,6
TRB,6
üben,6
1250m,6
FM,6
lehnen,5
KIHG,5
ufern,5
setzen,5
aalen,5
weilen,5
PG,5
schlagen,5
FWG,5
NAFG,4
mischen,4
räumen,4
WBG,3
eilen,3
parken,3
BG,3
DWG,3
ö,3
hauen,3
schulen,3
berücksichtigen,3
gewähren,3
scheren,3
holen,3
NSG,3
essen,3
wohnen,3
sammeln,3
spuren,3
holzen,3
kernen,2
wasserbauli,2
PHG,2
BPG,2
nördl,2
werken,2
hörnen,2
DFKVWXPVG,2
rücken,2
ixen,2
300m,2
dingen,2
koordinieren,2
stellen,2
bzgl,2
améliorer,2
donnern,2
a2,2
htm,2
station,2
stauen,2
tägl,2
b,2
lassen,2
proben,2
blättern,2
leiten,2
FMG,2
trinken,2
platzen,2
spielen,2
jagen,2
LFG,2
wanken,2
teilen,2
HWRB,2
BewG,2
fangen,2
BWG,2
schaffen,2
kabeln,2
tragen,2
zielen,2
piken,2
tm,2
fallen,2
blicken,1
raufen,1
lernen,1
HLWVHKUEHOLHEWHQWVSUHFKHQGJURVVVLQG,1
LDOVLQG,1
1LGHUVWDG,1
OLFKYRQHLQHPG,1
VKDQGHOWVLFKEHL,1
LHKXQJVNUDIWDXVXQG,1
hupen,1
HSWHPLW9HUNHKUVXQG,1
7RXULVPXVDQELHWHUXQG,1
LHZLFKWLJVWHQVLQG,1
QGXVWULHXQG,1
WZHUGHQDOVGLHVWHFKQLVFKXQG,1
lUPHYHUEXQG,1
c,1
salzen,1
melken,1
DenkmalschutzG,1
vg,1
sprechen,1
5km,1
formuliert'ist,1
si,1
Frauenw'inkel,1
stanzen,1
197g,1
nabeln,1
legen,1
umfass,1
kreisen,1
denken,1
iger,1
Anl,1
mangeln,1
iedert,1
bekämpfen,1
äfl,1
rennen,1
ild,1
Cl,1
schenken,1
geien,1
ruhen,1
wicklungen,1
fieren,1
einen,1
rlaffenpl,1
sehnen,1
eichen,1
handeln,1
Gmde,1
kesseln,1
Bootsanl,1
F'indet,1
maßen,1
kippen,1
nähren,1
überblicken,1
inter,1
EBG,1
gieren,1
erheben,1
f,1
öVG,1
ÖVG,1
regeln,1
gasen,1
NHG,1
normen,1
kVFWG,1
tigern,1
besuchen,1
ge,1
stücken,1
brauchen,1
verbrauchen,1
klären,1
çl,1
überlagern,1
schießen,1
B1,1
kreiseln,1
schlüsseln,1
schreien,1
nù-g,1
ãã,1
vergleichen,1
stauben,1
stocken,1
feien,1
1-g,1
beanstanden,1
irren,1
ermöglichen,1
dichten,1
ilen,1
tO,1
Kuf,1
nL,1
RAEUML,1
ìl,1
überbauen,1
fachen,1
vertragen,1
quartieren,1
ahnen,1
erben,1
beinen,1
grundsätz,1
dampfen,1
riechen,1
detaillieren,1
FöVG,1
drucken,1
GüTG,1
myiiksåmer,1
obJëkrb,1
ehren,1
beginnen,1
admin,1
dachen,1
Bietingen,1
buchen,1
trotzen,1
Etzwilen,1
CRB,1
bannen,1
brennen,1
kommen,1
steinigen,1
stoppen,1
HSWHXQG,1
RQVXOWDWLRQ5LFKWSODQEHLNDQWRQDOHQbPWHUQXQG,1
LDOHXQG,1
LFKWHXQG,1
PLVVLRQHQXQG5DXPEHGDUIVLQG,1
VVHXQG,1
schauen,1
tauschen,1
bürgern,1
bieten,1
dienen,1
richten,1
SRQLHUWH6WDQGRUWHXQG,1
SOlQHXQG,1
DKOXQG,1
HGHU5DXPHQWZLFNOXQJVVWUDWHJLHDEJHVWLPPWVLQG,1
QWZLFNOXQJPLQG,1
GLVULHG,1
LHKWXQG,1
LHOHUUHLFKXQJVLQG,1
LHUHQXQG,1
HVWOHJXQJXQG,1
HVWDOWXQJ6LHGOXQJVUlQGHUXQG,1
6WlGHUULHG,1
LVKDQG,1
LH3ODQXQJXQG,1
trennen,1
000m,1
Bülach,1
27L,1
leisten,1
