lemma,count
D,754
t,742
s,664
e,661
r,419
ent,332
défaire,237
mettre,229
errit,222
it,172
n,169
obilit,167
sit,158
ivit,134
é,132
liser,131
E,128
dica,128
isa,81
er,80
ur,79
bernois,78
u,75
aut,72
cipa,66
int,44
alit,41
radit,40
être,40
ét,39
ude,39
ablit,36
qualit,35
ransit,34
ersit,33
assavoir,32
ba,32
re,30
Tit,29
posit,29
SeCA,26
cit,26
ZSA,23
orit,22
nécessit,22
res,22
incit,20
archit,20
ca,19
PA,18
TTE,18
URBAI,17
iorit,17
ssibilit,16
énergét,16
accessibilit,14
unaut,13
subir,13
pa,13
Espa,13
i,13
dét,12
spa,12
densit,12
facilit,11
priorit,11
évolut,11
ixit,11
ifica,10
ée,9
ie,9
odalit,9
équit,9
ir,9
abgestimmt,9
disposit,8
abilit,8
ier,8
HESA,8
AlpTransit,8
plaire,8
Soweit,8
possibilit,8
bâtir,7
Andreas,7
contredire,7
ysa,7
Was,7
Zusammenarbeit,7
ersetzt,7
ionnalit,7
surMitarbeit,6
Spiela,6
bruir,6
fribourgeois,6
ègrent,6
Aut,6
Pa,6
ées,6
franco-valdo-genevois,6
transir,6
gibt,6
ZusammenfasLa,6
Palafit,6
Abhängigkeit,5
nt,5
solut,5
Verpflichtungskredire,5
voir,5
ue,5
pla,5
ona,5
d,5
geneva,5
lausannois,5
efois,5
hospit,5
Proposit,5
Damit,5
ploit,5
dudit,5
Re,5
érit,5
multimédias,4
seit,4
évit,4
piét,4
chit,4
lier,4
T,4
SCA,4
èt,4
isit,4
assujettir,4
jurer,4
servir,4
roit,4
boire,4
ensit,4
localit,4
avoir,4
ext,4
init,4
proposit,4
porter,4
GEA,3
légalit,3
Ext,3
Infras,3
vis‐à‐vis,3
l,3
R,3
SECTA,3
Cit,3
urit,3
diner,3
concer,3
palafit,3
sanit,3
qua,3
Ent,3
fécondit,3
ua,3
ons,3
crit,3
evit,3
unterstützt,3
cha,3
pét,2
faisabilit,2
ins,2
doiit,2
Öffentlichkeit,2
disponibilit,2
réquièrent,2
ds,2
éra,2
brandir,2
Identität,2
hôpit,2
ène,2
Wimmis,2
pollut,2
ennit,2
évoit,2
fisca,2
udes,2
ranquillit,2
OUESTRAI,2
ssa,2
plois,2
sociét,2
ixt,2
giona,2
invit,2
visit,2
comprendre,2
Edit,2
Freizeit,2
Leistungsfähigkeit,2
genutzt,2
ser,2
das,2
damit,2
neuchâtelois,2
diversit,2
faire,2
écaut,2
Kapazität,2
Capit,2
Mitarbeit,2
Elaborent,2
végét,2
adit,2
eur,2
égalit,2
BE,2
DEVA,1
Pays-d'Enhaut,1
lle,1
coller,1
Nyon-St-Cergue-La,1
obt,1
réput,1
bilit,1
cia,1
Evolut,1
FORTA,1
SBMA,1
avit,1
solidarit,1
fier,1
renataire,1
roser,1
SurESA,1
serrer,1
ramoner,1
Ela,1
Nyon‐St‐Cergue‐La,1
B32a,1
iva,1
enfouir,1
IR,1
Laila,1
verstetigt,1
Erreichbarkeit,1
enersetzt,1
setzt,1
habitants-emplois,1
tailler,1
piler,1
régir,1
SDANA,1
résulter,1
quit,1
cohabit,1
signalét,1
résoudre,1
concrèt,1
eca,1
consut,1
ransversalir,1
eit,1
spatia,1
théma,1
formuler,1
habiter,1
Mét,1
parasit,1
ffa,1
exa,1
Mixit,1
ain,1
irent,1
loca,1
vét,1
oriét,1
indubit,1
bâlois,1
créer,1
Densit,1
éalit,1
lla,1
DSAS,1
ichit,1
orrent,1
responsabilit,1
solidit,1
ga,1
Biodiversit,1
anquillit,1
ruit,1
sourire,1
ert,1
précit,1
ise,1
opposit,1
LVit,1
Monit,1
Tét,1
Concrét,1
concrét,1
Blotnitzkila,1
EMA,1
publica,1
SIA,1
rena,1
édias,1
légit,1
pérennit,1
réut,1
inorit,1
ibilit,1
égit,1
addit,1
Crit,1
durabilit,1
exposit,1
che,1
Lüt,1
Mobilit,1
aéronaut,1
nte,1
schut,1
ZIMEYSA,1
cantona,1
TOSA,1
EA,1
riser,1
oine_archit,1
a_dir,1
Exposit,1
Sit,1
Könit,1
ansit,1
iona,1
Lovisa,1
lua,1
révolut,1
nsposit,1
ble,1
he,1
ibua,1
eçoit,1
pes,1
pit,1
e_urbaine_Lit,1
Pla,1
Text,1
ransposit,1
12a,1
partir,1
Natura,1
a-t,1
solida,1
erlocut,1
cla,1
9a,1
restera-t,1
Realisierungszeit,1
starke,1
Centre-Jura,1
steigt,1
baut,1
doitMit,1
15a,1
berücksichtigt,1
bevorzugt,1
bereit,1
Gelegenheit,1
ÖV-Erreichbarkeit,1
Handlungsfähigkeit,1
Qualität,1
KoDamit,1
ausgebaut,1
optional,1
Streckengeschwindigkeit,1
verschiebt,1
Ausbaustrecke,1
Betriebsstabilität,1
Renan–La,1
repla,1
